tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
1.10225,-0.21484474849951454,0.04,-0.7,2.0,0.3,0.04,0.01,642,-0.10913658786989053,-0.1091366026868667,-1.4816976173781526e-08,-1.5770216261842112,-1.577023712936312,-2.0867521008938184e-06,-0.18214168725216862,-0.1821424640745417,-7.76822373094177e-07,0.010747936208810316,0.01074793648882181,2.800114948936505e-10,-0.0002709404386957992,-0.00027094043954793847,-8.521392684361639e-13
1.5345,-0.21484474849951454,0.04,-0.7,2.0,0.3,0.04,0.01,681,0.12835011145504466,0.12834945769450787,-6.537605367895605e-07,12.521299209988776,12.52129184391805,-7.366070725822738e-06,0.3483887959018772,0.3483903188389011,1.5229370238789564e-06,-0.025608381422626003,-0.025608380103162152,1.319463850679714e-09,0.0022438200830698918,0.0022438200818758755,-1.1940162400470022e-12
1.6675,-0.21484474849951454,0.04,-0.7,2.0,0.3,0.04,0.01,693,0.4130063537622852,0.41300569178652,-6.619757652037705e-07,21.149816740016995,21.149823833207222,7.093190227180912e-06,0.9273127513692581,0.9273193296498198,6.578280561719829e-06,-0.06073194089434297,-0.06073193973685312,1.1574898539645773e-09,0.004763940060770189,0.004763940059931829,-8.383597635552853e-13
1.7561666666666667,-0.21484474849951454,0.04,-0.7,2.0,0.3,0.04,0.01,701,0.6662888237473497,0.6662884791544139,-3.445929357415167e-07,25.150097612156838,25.1501242537742,2.6641617363765135e-05,1.4329483766750695,1.4329602170162177,1.184034114820598e-05,-0.09099826528441435,-0.09099826474639677,5.380175749358784e-10,0.006963817839600317,0.0069638178404214535,8.211365615240496e-13
1.9224166666666667,-0.21484474849951454,0.04,-0.7,2.0,0.3,0.04,0.01,716,1.1574562016584289,1.1574574490247975,1.2473663686396463e-06,18.71428597195266,18.714351413481786,6.544152912724144e-05,2.3960335442785308,2.396055230229886,2.168595135509932e-05,-0.1499014473349547,-0.1499014492879105,-1.9529557970798805e-09,0.011084517024806395,0.011084517034719715,9.913320164756101e-12
1.9335,-0.21484474849951454,0.04,-0.7,2.0,0.3,0.04,0.01,717,1.183793304821728,1.1837946955540968,1.3907323688222561e-06,17.312082918975413,17.31214969731872,6.677834330659493e-05,2.446874997212023,2.4468970173203215,2.202010829854828e-05,-0.15320138906371739,-0.1532013912247017,-2.1609843081638047e-09,0.011290856251622294,0.011290856257092825,5.470530278772756e-12
0.10475000000000001,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,733,-0.00012128029418657516,-0.00012127963755614503,6.566304301236069e-10,-0.011312014956004767,-0.011312082633887222,-6.767788245445883e-08,0.000551423890438052,0.0005514245346120857,6.441740337762708e-10,9.753422319791483e-05,9.753414579426566e-05,-7.740364916402655e-11,-4.5243795931959596e-05,-4.524379475885352e-05,1.173106073002958e-12
0.18233333333333335,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,740,-0.0015440951137893986,-0.001544092322731765,2.7910576334919807e-09,-0.06176967657691843,-0.06176962521107382,5.1365844612460965e-08,-0.0017344172378863654,-0.0017344198540458905,-2.6161595251261716e-09,0.0007600287002529349,0.0007600286715455857,-2.8707349214798783e-11,-4.140840559330172e-05,-4.140840614965111e-05,-5.563493865904864e-13
0.4594166666666667,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,765,-0.017906185757701115,-0.017906167385541086,1.837216002942288e-08,-0.5012242203533814,-0.501223822434761,3.979186203872942e-07,-0.031305112942192626,-0.03130516791773695,-5.497554432520868e-08,0.003767055993253443,0.0037670559743132395,-1.8940203572181957e-11,-6.541892166866958e-05,-6.541892084276208e-05,8.259074983163819e-13
0.6589166666666667,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,783,-0.04148890084269479,-0.04148886390672627,3.6935968519835605e-08,-1.0789734869372785,-1.0789728581108762,6.288264022824563e-07,-0.0733446002865179,-0.07334474507100587,-1.4478448796817478e-07,0.006462676474805473,0.006462676457706323,-1.7099150220745152e-11,-0.0001389483861302665,-0.0001389483859486719,1.8159459396274724e-13
0.67,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,784,-0.04311968563630068,-0.04311964764737456,3.7988926115950505e-08,-1.116743479547845,-1.1167429052805453,5.742672997133269e-07,-0.07620817416703618,-0.07620832644189016,-1.5227485397617535e-07,0.006626880137694524,0.006626880122085429,-1.5609094745905328e-11,-0.00014435793727063384,-0.0001443579364753799,7.952539451613894e-13
0.8805833333333334,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,803,-0.07927165740552757,-0.07927161051668713,4.688884043535513e-08,-1.8062258887965805,-1.8062256149559797,2.738406008617744e-07,-0.1377572020805351,-0.13775757977333622,-3.776928011178793e-07,0.009753243157273328,0.009753243214200399,5.692707069626657e-11,-0.00025825198368689684,-0.0002582519830552822,6.316146607468487e-13
0.9692500000000001,-0.2120937151276248,0.04,-0.7,2.0,0.3,0.04,0.01,811,-0.09527399027984816,-0.09527395573261693,3.4547231228532205e-08,-1.933117358719996,-1.9331179447528897,-5.860328937679071e-07,-0.16302336543760898,-0.1630238956039971,-5.30166388124087e-07,0.010749975917767607,0.010749976046539959,1.2877235215646987e-10,-0.000294749840368258,-0.00029474984170269064,-1.3344326186583155e-12
0.10475000000000001,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,914,-0.00014785467952711245,-0.00014785394369085285,7.358362596001679e-10,-0.012628345116051534,-0.012628260624192538,8.449185899539469e-08,0.0005187575841114622,0.0005187582338586326,6.497471703465624e-10,0.00011950371886504385,0.00011950363735084845,-8.151419540443697e-11,-4.528373037659961e-05,-4.5283729470289044e-05,9.063105626226642e-13
0.23775000000000002,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,926,-0.003695857504284381,-0.0036958521627258553,5.341558525790574e-09,-0.12807956286480573,-0.1280794314220533,1.314427524323758e-07,-0.00548368551150924,-0.005483695143865276,-9.632356036057277e-09,0.001401120168220693,0.0014011201547133644,-1.3507328719061795e-11,-4.004016618264217e-05,-4.0040166449173485e-05,-2.665313174159134e-13
0.28208333333333335,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,930,-0.005828453343247224,-0.0058284458178745405,7.525372683510334e-09,-0.18831843953537375,-0.18831833259110553,1.0694426821888925e-07,-0.00929631699092548,-0.009296333601240818,-1.6610315338450032e-08,0.0018830441714245971,0.0018830441584003358,-1.3024261356908706e-11,-4.1102055092778755e-05,-4.110205423994837e-05,8.528303863347513e-13
0.2931666666666667,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,931,-0.00643350831752101,-0.006433500196523151,8.12099785856002e-09,-0.20495390228922447,-0.2049537285562466,1.737329778650487e-07,-0.010382471197500909,-0.01038248975343006,-1.8555929150870787e-08,0.0020057249863758564,0.0020057249751061945,-1.1269661853025026e-11,-4.1704907582928996e-05,-4.1704908919095844e-05,-1.3361668474670511e-12
0.7919166666666667,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,976,-0.06660914408431051,-0.06660909470542782,4.937888269107571e-08,-1.6259432807352772,-1.625942840137781,4.405974962651271e-07,-0.11554771256722107,-0.1155479897932146,-2.7722599352242305e-07,0.008877284295161214,0.008877284313136027,1.7974812610566104e-11,-0.00022319813691717982,-0.00022319813659237025,3.2480956943178874e-13
1.1133333333333333,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,1005,-0.11636441961648206,-0.11636446607818189,-4.646169983468784e-08,-1.3452216794121896,-1.3452249552073279,-3.27579513825782e-06,-0.18626394694826187,-0.18626479675361524,-8.498053533645411e-07,0.01091153021132163,0.010911530580696719,3.693750895428227e-10,-0.0002770112808581082,-0.0002770112829780227,-2.119914487008767e-12
1.4236666666666666,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,1033,0.01842168528234743,0.018421139631418795,-5.456509286350109e-07,8.140676822517532,8.140666900663676,-9.92185385584321e-06,0.12070521423102054,0.12070538611901278,1.7188799224243656e-07,-0.011473819322982415,-0.011473818119059865,1.203922550194192e-09,0.0011795663146241253,0.0011795663120001388,-2.623986531530287e-12
1.4458333333333333,-0.20935022918187393,0.04,-0.7,2.0,0.3,0.04,0.01,1035,0.04578128063737071,0.04578069247536848,-5.881620022338274e-07,9.41127671191628,9.411267214037244,-9.497879036146628e-06,0.17729635244045916,0.17729687795108917,5.255106300117163e-07,-0.015138576691386962,-0.01513857543570607,1.2556808925978657e-09,0.0014256087976782794,0.0014256087936491916,-4.029087827261968e-12
0.08258333333333334,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,1093,1.6316232859339105e-05,1.631661289333802e-05,3.800339989160344e-10,-0.005611001511997126,-0.005610957902176571,4.3609820555082224e-08,0.000693935540696522,0.0006939359794252559,4.387287338980528e-10,-2.3535296489463065e-05,-2.353538359904745e-05,-8.710958438406212e-11,-4.55240933838752e-05,-4.552409375329522e-05,-3.694200232718693e-13
