tau,moneyness,v,rho,kappa,gamma,bar_v,r,price_pred,price_ref,price_error,delta_pred,delta_ref,delta_error,gamma_pred,gamma_ref,gamma_error,vega_pred,vega_ref,vega_error,theta_pred,theta_ref,theta_error,rho_pred,rho_ref,rho_error,pde_residual
1.4901666666666666,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09634944504458753,0.08987525111335426,0.006474193931233274,-0.39912591066354064,-0.3914229790762864,-0.007702931587254214,1.4619830247897991,1.707899549206088,-0.24591652441628886,0.28726286938696877,0.37074266933432426,-0.08347979994735549,-0.025515578401701457,-0.025702620813532324,0.0001870424118308664,-0.6944930053510584,-0.7107336296210773,0.016240624270018933,0.0035846424383319843
1.50125,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09663167582668297,0.09015952325410637,0.006472152572576606,-0.3988294599763281,-0.39115512113510453,-0.0076743388412235936,1.455465544923951,1.7011417229807488,-0.24567617805679776,0.28649514310360263,0.3697068065463508,-0.08321166344274816,-0.025413627228666486,-0.0255947946427074,0.0001811674140409121,-0.700076258015288,-0.716048925160369,0.015972667145080943,0.00359704452785942
1.5123333333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09691278797493352,0.09044260650183333,0.006470181473100189,-0.398539105807141,-0.39088929645044646,-0.00764980935669457,1.4490166382783307,1.6944563401082573,-0.24543970182992658,0.28572781475272596,0.36867522950065656,-0.0829474147479306,-0.02531371340740211,-0.025488080223365416,0.00017436681596330605,-0.7056542458737669,-0.721365893312996,0.01571164743922915,0.003610470743319827
1.5234166666666666,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09719280386356444,0.09072451306303997,0.006468290800524468,-0.39825472258500083,-0.39062546516079766,-0.007629257424203173,1.4426361886463077,1.6878421268563302,-0.24520593821002246,0.28496096796847875,0.3676479928344448,-0.08268702486596607,-0.025215799828708058,-0.025382456825468927,0.00016665699676086942,-0.711227359162114,-0.7266845199474932,0.015457160785379176,0.003624881559091655
1.5345,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09747174546009929,0.09100525491760414,0.006466490542495151,-0.3979761828854286,-0.39036358845713215,-0.007612594428296426,1.4363240396484518,1.6812978408813266,-0.24497380123287482,0.28419468388010405,0.3666251473853348,-0.08243046350523076,-0.025119850205945805,-0.025277904280454278,0.00015805407450847353,-0.7167959813181647,-0.7320047909753378,0.015208809657173084,0.0036402388828002327
1.5455833333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.0977496343342813,0.09128484382488988,0.006464790509391416,-0.3977033577126794,-0.39010362854946257,-0.0075997291632168285,1.4300799952275491,1.6748222702251914,-0.24474227499764223,0.2834290411933975,0.3656067403488665,-0.08217769915546896,-0.025025829040395693,-0.02517440296186405,0.00014857392146835555,-0.7223604888014685,-0.7373266923543829,0.014966203552914337,0.003656506029942705
1.5566666666666666,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09802649166662708,0.09156329132965291,0.006463200336974173,-0.39743611677009655,-0.38984554863462506,-0.007590568135471487,1.4239038203307868,1.668414232351799,-0.2445104120210122,0.28266411626836446,0.364592815429851,-0.08192869916148654,-0.024933701588971836,-0.0250719337667748,0.00013823217780296534,-0.7279212509292904,-0.7426502100920831,0.01472895916279271,0.003673647696362751
1.56775,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09830233825663032,0.09184060876774325,0.006461729488887069,-0.3971743287186046,-0.38958931286524034,-0.007585015853364241,1.4177952417565154,1.6620725732209292,-0.24427733146441377,0.2818999831932914,0.3635834129878107,-0.08168342979451931,-0.024843433834161648,-0.024970478097981884,0.00012704426382023626,-0.7334786297283147,-0.7479753302485042,0.014496700520189476,0.003691629928888291
1.5788333333333333,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09857719453064873,0.09211680727161542,0.006460387259033307,-0.39691786142343,-0.3893348863198205,-0.007582975103609502,1.411753949144753,1.6557961663980874,-0.2440422172533343,0.28113671385546496,0.3625785701767517,-0.08144185632128675,-0.024754992456053435,-0.02487001784690615,0.00011502539085271601,-0.7390329798014919,-0.7533020389391534,0.014269059137661522,0.003710420094408376
1.5899166666666666,0.9888888888888889,0.04,-0.7,2.0,0.3,0.04,0.01,0.09885108054948955,0.09239189777565238,0.006459182773837169,-0.3966665821891455,-0.38908223497395755,-0.00758434721518797,1.405779596091645,1.6495839121985552,-0.2438043161069101,0.28037437800871295,0.36157832107948895,-0.081203943070776,-0.024668344806333856,-0.024770535377188894,0.00010219057085503885,-0.7445846482093051,-0.758630322337605,0.014045674128299823,0.0037299868476665977
