tau,moneyness,v,rho,kappa,gamma,bar_v,r,log_moneyness,price_ref,delta_ref,gamma_ref,vega_ref,theta_ref,rho_ref,baseline_price_pred,baseline_price_error,baseline_delta_pred,baseline_delta_error,baseline_gamma_pred,baseline_gamma_error,baseline_vega_pred,baseline_vega_error,baseline_theta_pred,baseline_theta_error,baseline_rho_pred,baseline_rho_error,baseline_pde_residual,acv_price_pred,acv_price_error,acv_delta_pred,acv_delta_error,acv_gamma_pred,acv_gamma_error,acv_vega_pred,acv_vega_error,acv_theta_pred,acv_theta_error,acv_rho_pred,acv_rho_error,acv_pde_residual
0.0004120550023649154,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.7254681198730637e-05,0.012520298642750616,-5.557626470279374,-0.0012365272435901527,0.11561087230106176,5.449091236586301e-06,-0.00029644389208655086,-0.0003136985732852815,-0.01442733200803168,-0.026947630650782296,3.1637765570337772,8.721403027313151,-0.0044506662919033815,-0.003214139048313229,-0.12175088431345878,-0.23736175661452052,0.046120805990968156,0.04611535689973157,0.05025478378189671,-0.00011984295888972909,-0.00013709764008845973,-0.012533755001626963,-0.02505405364437758,0.5080175483646301,6.0656440186440035,-0.0017992646557776196,-0.0005627374121874669,-0.04916192426482533,-0.1647727965658871,0.018645193926690125,0.01863974483545354,0.03668279708696239
0.0004457787562056504,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.377159374538195e-05,0.00972033143394091,-4.435577752619736,-0.0010655281125661522,0.09188504117762517,4.576555689935749e-06,-0.00029233825453328643,-0.0003061098482786684,-0.014561941927879005,-0.024282273361819914,3.164514447947292,7.600092200567028,-0.0043893476093663135,-0.0033238194968001613,-0.1217355075705625,-0.21362054874818767,0.04615991902803017,0.04615534247234023,0.05021686844730469,-0.00011818511408446158,-0.00013195670782984353,-0.012495386887897489,-0.0222157183218384,0.503903913326007,4.939481665945743,-0.001774504499240119,-0.0007089763866739668,-0.04915719133752904,-0.14104223251515421,0.01866131172318409,0.018656735167494155,0.03677898559189639
0.0004822625580171248,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.0801642002178369e-05,0.007383239729031654,-3.4789009777238604,-0.0009023516982851788,0.07177127276934148,3.7605366237514616e-06,-0.00028789718374316875,-0.0002986988257453471,-0.01470748941150337,-0.022090729140535025,3.1653135635806526,6.644214541304513,-0.004323024500495943,-0.0034206728022107644,-0.12171888010306957,-0.19349015287241106,0.04620219972382245,0.0461984391871987,0.05017584380557975,-0.000116391766133174,-0.00012719340813535236,-0.012453864151512199,-0.019837103880543855,0.4994574913484428,3.9783584690723033,-0.0017477227463905225,-0.0008453710481053436,-0.04915207959470869,-0.12092335236405016,0.01867873646826204,0.01867497593163829,0.036882966923846745
0.0005217322979786103,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,8.314284920873938e-06,0.005475246118689547,-2.6777356835516883,-0.0007499945925543757,0.0550246324616637,3.0168091856522944e-06,-0.0002830933260462576,-0.0002914076109671315,-0.014864856085034371,-0.02034010220372392,3.1661790501606943,5.843914733712383,-0.004251289783224982,-0.0035012951906706067,-0.12170090086364632,-0.17672553332531002,0.04624790164918833,0.04624488484000268,0.0501314544697435,-0.00011445185530558641,-0.00012276614022646034,-0.012408926142730209,-0.017884172261419758,0.4946517072620396,3.172387390813728,-0.0017187547651770117,-0.000968760172622636,-0.04914655950620025,-0.10417119196786395,0.018697573064209126,0.018694556255023476,0.036995365358668424
0.0005644323537643905,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,6.2709022726759045e-06,0.003954802913899158,-2.019620339752283,-0.0006109098755268591,0.0413478678284176,2.3572498449505328e-06,-0.00027789710587644567,-0.0002841680081491216,-0.015034993416992541,-0.0189897963308917,3.167116496428532,5.186736836180815,-0.0041737033577652315,-0.0035627934822383724,-0.12168146075762094,-0.16302932858603855,0.04629729816619807,0.04629494091635312,0.0500834240338936,-0.00011235342176539975,-0.00011862432403807565,-0.012360290459111368,-0.016315093373010528,0.4894579233177732,2.509078263070056,-0.001687422588298278,-0.0010765127127714189,-0.04914059938083814,-0.09048846720925574,0.018717934650885098,0.018715577401040146,0.03711685397251152
0.0006106271036129545,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,4.6267309076197805e-06,0.002774849050095396,-1.4901172391161488,-0.000486891279892542,0.030406435049351685,1.7891662334697852e-06,-0.0002722765467626509,-0.0002769032776702707,-0.015218928038865135,-0.01799377708896053,3.168131973034591,4.658249212150739,-0.004089789581701139,-0.0036028983018085966,-0.1216604420218509,-0.1520668770712026,0.04635068388564868,0.046348894719415216,0.05003145334289871,-0.00011008353273659894,-0.00011471026364421873,-0.012307651093553907,-0.015082500143649303,0.48384528947180966,1.9739625285879585,-0.0016535338451147017,-0.0011666425652221597,-0.049134165234475204,-0.0795406002838269,0.018739943221541704,0.018738154055308234,0.037248158247929486
0.0006606025632300839,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,3.3330518648400087e-06,0.001885351131969193,-1.0735179039828857,-0.00037900360902916753,0.021844764120520083,1.3150020276557093e-06,-0.0002661970781508982,-0.0002695301300157382,-0.015417767433372004,-0.017303118565341197,3.1692320755805885,4.242749979563474,-0.003999034441979683,-0.0036200308329505156,-0.12163771755905653,-0.1434824816795766,0.04640837621661519,0.046407061214587535,0.04997521862135905,-0.00010762820384538781,-0.00011096125571022782,-0.012250676418679544,-0.014136027550648737,0.47778058465104273,1.5512984886339285,-0.0016168806100197628,-0.0012378770009905953,-0.04912722065521205,-0.07097198477573213,0.018763730279352006,0.018762415277324352,0.03739005990973929
0.000714668156660741,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,2.3394680681576574e-06,0.0012359127596228703,-0.753577284218153,-0.000287566630687366,0.015302521883091566,9.324697121397725e-07,-0.0002596213269706049,-0.00026196079503876257,-0.015632706008906847,-0.016868618768529717,3.170423971648454,3.924001255866607,-0.00390088250915051,-0.003613315878463144,-0.12161315022494361,-0.13691567210803518,0.046470717011072235,0.046469784541360096,0.049914369451086446,-0.00010497231417937129,-0.00010731178224752895,-0.012189006991969176,-0.013424919751592046,0.4712280488098979,1.2248053330280508,-0.0015772381610764878,-0.0012896715303891218,-0.04911972666704455,-0.06442224855013612,0.018789437536383312,0.018788505066671173,0.03754340099856692
0.00077315863209415,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.5961041709422474e-06,0.000778219783462708,-0.5142224388992407,-0.00021219407109126457,0.010429656625716705,6.351090988391444e-07,-0.0002525088927953778,-0.00025410499696632005,-0.01586503157811126,-0.016643251361573966,3.171715452182737,3.6859378910819776,-0.003794733658362189,-0.0035825395872709246,-0.12158659206546954,-0.13201624869118625,0.04653807430610817,0.04653743919700933,0.04984852658583373,-0.00010209951457629783,-0.00010369561874724008,-0.012122253164709502,-0.01290047294817221,0.46414920566235846,0.9783716445615991,-0.0015343636423097507,-0.0013221695712184861,-0.049111641593549374,-0.05954129821926608,0.018817217656646245,0.018816582547547405,0.0377090881887472
0.0008364361344638246,1.0575976837366112,0.04,-0.7,2.0,0.3,0.04,0.01,0.05599999999999997,1.0555706203563275e-06,0.000468104213551257,-0.34018485205803817,-0.0001518832765636123,0.006899178196651789,4.13208117055054e-07,-0.0002448161053576481,-0.0002458716759780044,-0.016116132257738183,-0.01658423647128944,3.173114987621302,3.5132998396793402,-0.003679939540706726,-0.0035280562641431135,-0.12155788350155133,-0.12845706169820312,0.046610844165565726,0.04661043095744867,0.049777279591428275,-9.899212861325624e-05,-0.00010004769923361257,-0.012049992475778693,-0.01251809668932995,0.45650267607104256,0.7966875281290807,-0.001487994622618911,-0.0013361113460552986,-0.049102920923665284,-0.056002099120317075,0.01884723504472702,0.018846821836609965,0.03788809735577467
