rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.7,2.0,0.3,0.04,0.04,0.8,1.155,0.01,0.1971002268376837,0.19724855184666878,-0.00014832500898509515,-0.8425680126092462,-0.841324571203635,-0.0012434414056111676,0.18327193330965108,0.18265179806965093,0.0006201352400001525,-0.006169967395928346,-0.006409382051846109,0.0002394146559177631,-1.0061017339301845,-1.0052059811750615,-0.0008957527551229916,2.0686570084957503,2.068418076261299,0.00023893223445137224
-0.7,2.0,0.3,0.04,0.04,0.8,1.22,0.01,0.19751984384255705,0.197682627849746,-0.00016278400718894304,-0.8312707735365069,-0.8299647202402869,-0.0013060532962200222,0.18983503326497286,0.18901166955807813,0.0008233637068947308,-0.0067301251323007094,-0.0069351999020919024,0.000205074769791193,-1.0522265386922258,-1.0512183729312103,-0.0010081657610154782,2.0870088840967864,2.0860723875612557,0.0009364965355307397
-0.7,2.0,0.3,0.04,0.04,0.8,1.2850000000000001,0.01,0.19797373345925873,0.19814869599347762,-0.00017496253421889207,-0.8203664001295262,-0.819025783340882,-0.0013406167886441667,0.1954891027933494,0.19448372096630173,0.00100538182704768,-0.007225230635119485,-0.00739491839078347,0.00016968775566398534,-1.097679208113215,-1.096579579626045,-0.0010996284871700457,2.097660707024892,2.0960348189347506,0.001625888090141192
-0.7,2.0,0.3,0.04,0.04,0.8,1.35,0.01,0.1984578104623811,0.19864268157655318,-0.00018487111417209157,-0.8098585273823147,-0.8085053969197507,-0.0013531304625640228,0.20032050651868857,0.1991606763674556,0.0011598301512329712,-0.007659725457195227,-0.007795281487289044,0.00013555603009381655,-1.1425254220440944,-1.1413534488016772,-0.0011719732424171347,2.1019456435347434,2.0996971420682353,0.0022485014665081238
-0.7,2.0,0.3,0.04,0.04,0.8,1.415,0.01,0.19896828458638716,0.19916093210597174,-0.0001926475195845878,-0.7997448692398803,-0.7983956239175896,-0.0013492453222907486,0.20441288018078105,0.203129155038966,0.0012837251418150453,-0.00803823027648549,-0.008142527434985725,0.00010429715850023523,-1.186824428201229,-1.185596565204663,-0.001227862996566076,2.101001382942684,2.0982245235968406,0.0027768593458432633
-0.7,2.0,0.3,0.04,0.04,0.8,1.4800000000000002,0.01,0.199501669351549,0.19970018318300264,-0.00019851383145363943,-0.7900186515352935,-0.7886847308849403,-0.0013339206503532042,0.20784545653114167,0.2064687189722576,0.001376737558884067,-0.0083654557785518,-0.00844235727609975,7.690149754794977e-05,-1.2306292944545667,-1.2293589924786132,-0.0012703019759534584,2.0957914344154935,2.092587251016332,0.0032041833991613977
-0.7,2.0,0.3,0.04,0.04,0.8,1.5450000000000002,0.01,0.2000547847831604,0.2002575234820052,-0.00020273869884479545,-0.7806697844377575,-0.7793585122924751,-0.0013112721452823717,0.21069205484955528,0.2092515768572243,0.0014404779923309907,-0.008646106207775261,-0.008699935908668188,5.382970089292706e-05,-1.2739872686747258,-1.272684994973197,-0.001302273701528689,2.0871265131995616,2.083590376706221,0.0035361364933406136
-0.7,2.0,0.3,0.04,0.04,0.8,1.61,0.01,0.2006247539559155,0.2008303605019539,-0.000205606546038406,-0.771685816914081,-0.7704012673528904,-0.0012845495611906177,0.21302055928684654,0.21154269873597487,0.0014778605508716791,-0.008884787432804688,-0.008919913080017687,3.5125647212998906e-05,-1.3169402097406224,-1.3156137127586678,-0.001326496981954639,2.0756849765563947,2.0719001842324207,0.0037847923239739956
-0.7,2.0,0.3,0.04,0.04,0.8,1.675,0.01,0.20120899392583524,0.2014163880892461,-0.0002073941634108678,-0.763052706917622,-0.7617965127279485,-0.0012561941896734874,0.21489274964613436,0.2134001742696573,0.0014925753764770677,-0.009085927126312069,-0.009106455732675694,2.0528606363624802e-05,-1.3595250584513991,-1.3581797771049384,-0.001345281346460725,2.0620317060711835,2.058067160297747,0.003964545773436523
-0.7,2.0,0.3,0.04,0.04,0.8,1.74,0.01,0.20180520198251928,0.20201355627089423,-0.00020835428837495673,-0.7547554355750447,-0.7535274960049556,-0.0012279395700890428,0.21636437882189652,0.2148757031852001,0.0014886756366964127,-0.009253710990194713,-0.009263285983489937,9.574993295223891e-06,-1.4017743228082336,-1.400413862350254,-0.001360460457979551,2.04663513096893,2.0425455714229246,0.004089559546005539
