tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
1.335,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8375716130456701,0.19852640489676587,-1.036098017942436,1.036098017942436,-0.02369901377475939,,,0.07932227097328942,-0.8108963733890795,0.890218644362369,0.890218644362369,0.49159005310520953,-0.16267473575644692,2.099346828995584,-2.2620215647520308,2.2620215647520308,0.7298381528617408,0.10084739042717407,0.19814730820336646,-0.09729991777619239,0.09729991777619239,0.08120864363672824,0.01963047232568564,-0.007707823318307796,0.027338295643993437,0.027338295643993437,0.027129188651101702,-0.014256011655214555,-1.1310700773167193,1.1168140656615047,1.1168140656615047,0.5240625719205403
1.4015,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8388926462813311,0.1990514651130395,-1.0379441113943706,1.0379441113943706,-0.02432555537251302,,,0.07762090943600577,-0.8004620953602826,0.8780830047962883,0.8780830047962883,0.4876986897191962,-0.15914132034036804,2.0989025446528142,-2.258043864993182,2.258043864993182,0.7286592051400449,0.09712800316306727,0.20235920711454525,-0.10523120395147798,0.10523120395147798,0.08752060393334095,0.020098747977392813,-0.008074489402242976,0.02817323737963579,0.02817323737963579,0.027947574981628243,-0.014646982704730577,-1.1764487296738726,1.161801746969142,1.161801746969142,0.5338061637423597
1.468,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8402446961026215,0.19959918580988323,-1.0398438819125047,1.0398438819125047,-0.024941960262358252,,,0.07601660798572685,-0.7904481121351707,0.8664647201208976,0.8664647201208976,0.48393735302812474,-0.1557909267057261,2.093902760935146,-2.249693687640872,2.249693687640872,0.7271378131356954,0.0936617936824753,0.2058961343845711,-0.1122343407020958,0.1122343407020958,0.0930713164275749,0.020564722672928186,-0.008390330739878283,0.02895505341280647,0.02895505341280647,0.02871413234551893,-0.01503899189280047,-1.2213138676604527,1.2062748757676522,1.2062748757676522,0.5430456692003338
1.5345,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8416278849798169,0.20016637797855763,-1.0417942629583745,1.0417942629583745,-0.025557369834465136,,,0.0744964258584579,-0.7808396447841204,0.8553360706425783,0.8553360706425783,0.48029932012562826,-0.1526012657236047,2.0852420880796325,-2.237843353803237,2.237843353803237,0.725338009114271,0.09042271338222113,0.20883696015592612,-0.11841424677370499,0.11841424677370499,0.09795716930960724,0.02103656918747157,-0.008660989593952648,0.02969755878142422,0.02969755878142422,0.02944255710075522,-0.015431189815146918,-1.2657140549450834,1.2502828651299365,1.2502828651299365,0.5518272980657487
1.601,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8430428585319965,0.20075020871907756,-1.043793067251074,1.043793067251074,-0.026180213834089125,,,0.07304919553196396,-0.7716201005186609,0.8446692960506249,0.8446692960506249,0.47677789149227806,-0.14955128248566252,2.073658010631684,-2.2232092931173466,2.2232092931173466,0.7233105587633163,0.08738902351017949,0.21125257873789416,-0.12386355522771467,0.12386355522771467,0.10226071539660087,0.021521877689598925,-0.0088915385454596,0.030413416235058527,0.030413416235058527,0.03014537744949888,-0.015822613533279187,-1.309692108903544,1.2938694953702647,1.2938694953702647,0.5601913304299636
1.6675,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8444907518835056,0.20134816444642678,-1.0458389163299324,1.0458389163299324,-0.02681837794920183,,,0.07166517788180583,-0.7627719177568015,0.8344370956386074,0.8344370956386074,0.4733664561099103,-0.14662104215422037,2.0597573150846316,-2.206378357238852,2.206378357238852,0.7210958680812319,0.08454247635176006,0.21320627202432918,-0.12866379567256914,0.12866379567256914,0.1060526957694371,0.022027798958789556,-0.009086515014362624,0.03111431397315218,0.03111431397315218,0.030834139105217675,-0.016212203210300292,-1.3532858025019892,1.337073599291689,1.337073599291689,0.5681730616273324
1.734,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8459731636920542,0.2019580166694105,-1.0479311803614646,1.0479311803614646,-0.02747931330729559,,,0.07033579332366836,-0.7542771717703487,0.824612965094017,0.824612965094017,0.4700585394164649,-0.14379159490797935,2.0440385882453116,-2.187830183153291,2.187830183153291,0.7187261658251289,0.08186766342300827,0.21475424222857276,-0.13288657880556448,0.13288657880556448,0.10939379685702717,0.022561134330770612,-0.009249963149421368,0.03181109748019198,0.03181109748019198,0.031519542870156424,-0.016598819554005276,-1.3965284935845856,1.3799296740305804,1.3799296740305804,0.5758035749312387
1.8005,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8474921347363806,0.2025777906653745,-1.0500699254017551,1.0500699254017551,-0.028170101101091923,,,0.06905341165015604,-0.7461180018845259,0.8151714135346819,0.8151714135346819,0.4668478376918943,-0.1410448389460693,2.0269111115444725,-2.167955950490542,2.167955950490542,0.7162271604944318,0.07935149001439977,0.21594622258634288,-0.1365947325719431,0.1365947325719431,0.11233616259887157,0.0231283845462018,-0.009385478420987145,0.032513862967188945,0.032513862967188945,0.03221154223265762,-0.01698126264391716,-1.439449682007477,1.4224684193635597,1.4224684193635597,0.5831103752027298
1.867,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8490501286257199,0.20320573712572887,-1.052255865751449,1.052255865751449,-0.028897481498248626,,,0.06781118788336882,-0.7382769064726598,0.8060880943560286,0.8060880943560286,0.46372824223486686,-0.13836339202655837,2.008710585912075,-2.1470739779386334,2.1470739779386334,0.7136193118713541,0.0769827461242651,0.21682610829507953,-0.13984336217081444,0.13984336217081444,0.11492468908869148,0.02373576586696424,-0.009496252003018756,0.03323201786998299,0.03323201786998299,0.03291940688639983,-0.0173582925843568,-1.4820754987213003,1.4647172061369436,1.4647172061369436,0.5901179101487957
1.9335,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8506500126592527,0.20384030669534225,-1.054490319354595,1.054490319354595,-0.029667853256076255,,,0.06660293471597808,-0.7307369405815014,0.7973398752974795,0.7973398752974795,0.4606938562422926,-0.13573047696126178,1.989712141296887,-2.1254426182581487,2.1254426182581487,0.7109188168651472,0.0747517513664285,0.21743257254987913,-0.14268082118345063,0.14268082118345063,0.1171981302295942,0.024389199275591737,-0.009585113210985043,0.03397431248657678,0.03397431248657678,0.03365175658991394,-0.017728652320009378,-1.5244291326869104,1.506700480366901,1.506700480366901,0.596848000547048
