tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,head_delta,head_error_delta,head_abs_error_delta,head_minus_autodiff_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,head_gamma,head_error_gamma,head_abs_error_gamma,head_minus_autodiff_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,head_vega,head_error_vega,head_abs_error_vega,head_minus_autodiff_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.9600000000000001,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.17020529595436282,0.13335248686741197,0.03685280908695085,0.03685280908695085,0.036344735750110484,,,-0.610454071994488,-0.6827379855168618,0.07228391352237384,0.07228391352237384,0.04295613110568219,-0.6933531607932626,-0.010615175276400768,0.010615175276400768,-0.08289908879877461,3.767395095605365,2.715964101958617,1.0514309936467479,1.0514309936467479,0.2829497177038276,2.036108748469957,-0.67985535348866,0.67985535348866,-1.7312863471354079,0.20180141900518883,0.3248936615327662,-0.12309224252757739,0.12309224252757739,0.09290726199502855,0.7568460551112648,0.4319523935784986,0.4319523935784986,0.5550446361060759,-0.06454072974045956,-0.020585275461961677,-0.04395545427849788,0.04395545427849788,0.04306886973124486,-0.6496951294288154,-0.7047954375573597,0.055100308128544384,0.055100308128544384,0.032320774044006365
1.0250000000000001,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.17442030226036945,0.13468586598263366,0.03973443627773579,0.03973443627773579,0.047266622949536444,,,-0.5920117560883891,-0.671315877436609,0.07930412134821996,0.07930412134821996,0.04745010947293407,-0.6841945033183913,-0.012878625881782235,0.012878625881782235,-0.0921827472300022,2.6354031954133035,2.6480716755855678,-0.012668480172264296,0.012668480172264296,0.0034726511151212027,1.9958004789345405,-0.6522711966510273,0.6522711966510273,-0.639602716478763,0.21027511242381114,0.3258983123055692,-0.11562319988175807,0.11562319988175807,0.08720367075564336,0.7920932940795402,0.466194981773971,0.466194981773971,0.5818181816557291,-0.0650664192662713,-0.020436077989803937,-0.04463034127646736,0.04463034127646736,0.04373653797539811,-0.6896465982518043,-0.7435799340800211,0.0539333358282168,0.0539333358282168,0.030932528399780005
1.09,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.17865532301908754,0.136008532779897,0.042646790239190546,0.042646790239190546,0.05261765602430563,,,-0.5782035238017385,-0.6607484591149628,0.08254493531322438,0.08254493531322438,0.04970345440345239,-0.6756634149208136,-0.014914955805850783,0.014914955805850783,-0.09745989111907516,2.047789451247343,2.5822345772431015,-0.5344451259957586,0.5344451259957586,0.14919322408167618,1.9570835671009281,-0.6251510101421733,0.6251510101421733,-0.09070588414641478,0.21207241701170154,0.3259716004116475,-0.11389918339994598,0.11389918339994598,0.08589865979375878,0.8259832053278118,0.5000116049161643,0.5000116049161643,0.6139107883161102,-0.06519661253080199,-0.020257072247421036,-0.04493954028338095,0.04493954028338095,0.04404727152186084,-0.7294568687612638,-0.7820392227131592,0.052582353951895366,0.052582353951895366,0.02950684433973266
1.155,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.18289123469254848,0.13731880172474453,0.045572432967803944,0.045572432967803944,0.057697797748868504,,,-0.56695023573197,-0.6509377383574657,0.0839875026254957,0.0839875026254957,0.05087260450479235,-0.6676844869318992,-0.01674674857443348,0.01674674857443348,-0.10073425119992918,1.422825748373727,2.5187869593717322,-1.0959612109980053,1.0959612109980053,0.311459950162395,1.9199692960374928,-0.5988176633342395,0.5988176633342395,0.4971435476637658,0.21014666553991118,0.3253016723514587,-0.1151550068115475,0.1151550068115475,0.08688965630536788,0.8586409886967039,0.5333393163452452,0.5333393163452452,0.6484943231567928,-0.06510475008123642,-0.020055688696526637,-0.045049061384709786,0.045049061384709786,0.04416333528052328,-0.7691600245319244,-0.8202163332586077,0.05105630872668321,0.05105630872668321,0.028049582785185004
1.22,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.1871138462163503,0.13861541285649803,0.04849843335985227,0.04849843335985227,0.06825082160141638,,,-0.5593004320150762,-0.6417997223091292,0.08249929029405301,0.08249929029405301,0.05024930213657296,-0.6601945199448089,-0.01839479763567975,0.01839479763567975,-0.10089408792973276,0.12517531716280594,2.457896194308846,-2.3327208771460404,2.3327208771460404,0.6746069708469943,1.8844297804365222,-0.573466413872324,0.573466413872324,1.7592544632737162,0.2031483375100171,0.3240407207710868,-0.12089238326106971,0.12089238326106971,0.0913056383875151,0.8901744774017255,0.5661337566306387,0.5661337566306387,0.6870261398917084,-0.06477816977112333,-0.019837673179831178,-0.04494049659129215,0.04494049659129215,0.044066323271985716,-0.8087884081000497,-0.8581469855560087,0.04935857745595895,0.04935857745595895,0.02656333316989426
1.2850000000000001,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.19130668955305097,0.1398974366121134,0.051409252940937566,0.051409252940937566,0.08063156956754503,,,-0.5564793958643676,-0.6332621205558318,0.07678272469146419,0.07678272469146419,0.047011881145773156,-0.6531401035629352,-0.019877983007103417,0.019877983007103417,-0.0966607076985676,-1.39615376147612,2.399619788510341,-3.795773549986461,3.795773549986461,1.1165288432591776,1.8504140382730674,-0.5492057502372736,0.5492057502372736,3.2465677997491875,0.18970955671635253,0.32231204630347543,-0.1326024895871229,0.1326024895871229,0.10028078467394537,0.920677205570841,0.5983651592673656,0.5983651592673656,0.7309676488544885,-0.064191690544698,-0.019607504617415818,-0.04458418592728219,0.04458418592728219,0.04372681225410495,-0.8483892451883529,-0.8958610119711001,0.04747176678274723,0.04747176678274723,0.025039687236033982
1.35,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.19545446552036386,0.1411642018139304,0.054290263706433445,0.054290263706433445,0.08873088929919351,,,-0.557719116541801,-0.6252624557518041,0.0675433392100031,0.0675433392100031,0.04155841966998451,-0.6464757534425231,-0.021213297690719002,0.021213297690719002,-0.08875663690072211,-2.4146465033610984,2.343943604705697,-4.758590108066795,4.758590108066795,1.4230473568305295,1.8178581975898613,-0.5260854071158356,0.5260854071158356,4.23250470095096,0.17137573900098174,0.32021568535125755,-0.1488399463502758,0.1488399463502758,0.11273911376888038,0.9502308370441728,0.6300151516929152,0.6300151516929152,0.778855098043191,-0.06340853804844025,-0.01936869723748097,-0.04403984081095928,0.04403984081095928,0.04320305393947111,-0.888005566536194,-0.9333834698819499,0.045377903345755866,0.045377903345755866,0.02347072065766994
1.415,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.19954802464348392,0.14241524054396282,0.057132784099521106,0.057132784099521106,0.08987616767272776,,,-0.5608180921973986,-0.6177465090367766,0.05692841683937799,0.05692841683937799,0.03518994880926912,-0.6401624615479916,-0.022415952511214976,0.022415952511214976,-0.07934436935059297,-2.6130935694058213,2.2908076673838647,-4.903901236789686,4.903901236789686,1.4901816612966028,1.7866919972716728,-0.5041156701121918,0.5041156701121918,4.399785566677494,0.15161288884846713,0.31783289843816975,-0.16622000958970262,0.16622000958970262,0.1261313249856627,0.9789071050011819,0.6610742065630122,0.6610742065630122,0.8272942161527148,-0.06254255439123199,-0.01912402266926838,-0.04341853172196361,0.04341853172196361,0.04260377614124206,-0.9276542745649132,-0.9707355184223017,0.04308124385738843,0.04308124385738843,0.021860489880386226
1.4800000000000002,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.2035852652533085,0.14365024550996564,0.059935019743342866,0.059935019743342866,0.08586615413957907,,,-0.5637202958605865,-0.6106670386338227,0.04694674277323618,0.04694674277323618,0.02914739151367789,-0.6341665563650486,-0.02349951773122594,0.02349951773122594,-0.07044626050446212,-2.2030722736392216,2.24012363928737,-4.443195912926591,4.443195912926591,1.3713044338961782,1.7568429157748282,-0.4832807235125416,0.4832807235125416,3.95991518941405,0.1334741298205988,0.31522975609251336,-0.18175562627191455,0.18175562627191455,0.1381930612731133,1.00676937394226,0.6915396178497467,0.6915396178497467,0.8732952441216613,-0.061687109340047196,-0.018875675401043512,-0.04281143393900368,0.04281143393900368,0.04201830995931129,-0.9673188244080069,-1.0079351144714412,0.04061629006343437,0.04061629006343437,0.020227889721489332
1.5450000000000002,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.20756858426630964,0.14486903677320395,0.06269954749310569,0.06269954749310569,0.07947380717538412,,,-0.5653411508841649,-0.6039827207631481,0.03864156987898315,0.03864156987898315,0.024091013811294762,-0.6284587981968565,-0.024476077433708388,0.024476077433708388,-0.06311764731269154,-1.5157742811644694,2.1917866635984518,-3.707560944762921,3.707560944762921,1.1615942215207393,1.7282387662453111,-0.4635478973531406,0.4635478973531406,3.244013047409781,0.11843797271165646,0.31246001038136983,-0.19402203766971338,0.19402203766971338,0.14783081856591973,1.0338739076983354,0.7214138973169656,0.7214138973169656,0.915435934986679,-0.06088774766921367,-0.018625397562156906,-0.04226235010705676,0.04226235010705676,0.041489589998641184,-1.006958622110003,-1.0449975689641762,0.038038946854173084,0.038038946854173084,0.018600974119221285
1.61,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.2115022548191641,0.1460715355741694,0.06543071924499469,0.06543071924499469,0.07188728190183916,,,-0.5652635183674263,-0.5976572714431265,0.03239375307570025,0.03239375307570025,0.02027578358307081,-0.6230136546226487,-0.025356383179522157,0.025356383179522157,-0.057750136255222406,-0.6987860133089708,2.145683367576833,-2.844469380885804,2.844469380885804,0.9042452937903096,1.7008092928758531,-0.44487407470097984,0.44487407470097984,2.399595306184824,0.10689638199597207,0.30956740046210424,-0.20267101846613217,0.20267101846613217,0.15476180790283575,1.0602709067044642,0.7507035062423599,0.7507035062423599,0.9533745247084922,-0.0601612279578175,-0.018374574066325776,-0.04178665389149172,0.04178665389149172,0.04103269558728221,-1.0465258765190497,-1.081935994455035,0.035410117935985364,0.035410117935985364,0.017008264437665514
1.675,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.21539130513093296,0.14725774359636756,0.0681335615345654,0.0681335615345654,0.06342721149613793,,,-0.5632706587796792,-0.5916587156685029,0.02838805688882373,0.02838805688882373,0.017835517507219276,-0.6178087153894839,-0.026149999720980976,0.026149999720980976,-0.05453805660980471,0.2061800109822321,2.1016972361206347,-1.8955172251384027,1.8955172251384027,0.6111225825216811,1.674487114072904,-0.4272101220477307,0.4272101220477307,1.468307103090672,0.09888928126327401,0.3065875088463497,-0.2076982275830757,0.2076982275830757,0.15896235512496418,1.0860053627031225,0.7794178538567729,0.7794178538567729,0.9871160814398485,-0.059515818682108576,-0.01812430587620394,-0.04139151280590464,0.04139151280590464,0.040654675040178764,-1.0859800287456118,-1.1187616674192902,0.03278163867367834,0.03278163867367834,0.01547207464518993
1.74,-0.12783337150988489,0.04,-0.7,2.0,0.3,0.04,0.01,0.88,0.2192411303508584,0.14842772643592383,0.07081340391493457,0.07081340391493457,0.05472555758761015,,,-0.5592760902913879,-0.5859587769419468,0.02668268665055884,0.02668268665055884,0.01682432547333199,-0.6128242162145944,-0.026865439272647618,0.026865439272647618,-0.05354812592320646,1.1277813345884842,2.0597121756553167,-0.9319308410668325,0.9319308410668325,0.30458121142301087,1.6492082381294528,-0.4105039375258639,0.4105039375258639,0.5214269035409687,0.09427500489035234,0.3035492601254218,-0.20927425523506948,0.20927425523506948,0.16054188486512125,1.1111177678584794,0.8075685077330576,0.8075685077330576,1.016842762968127,-0.05895407542875529,-0.017875466926910916,-0.041078608501844374,0.041078608501844374,0.04035720462530221,-1.1252952251799644,-1.1554843232520178,0.03018909807205339,0.03018909807205339,0.014005714514548897
