rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.805625,0.01,0.13285595012696344,0.1328719681788919,-1.6018051928468058e-05,-0.33014787370360527,-0.3301560171866067,8.143483001432639e-06,0.2544768928681544,0.25457088988682347,-9.399701866907861e-05,-0.08988299039558012,-0.08991502544398476,3.203504840464111e-05,-0.3903065319628271,-0.3903157468975673,9.21493474020929e-06,0.8370732631395852,0.8371122403677391,-3.8977228153935783e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.8178125,0.01,0.13394644097503905,0.13396284903352862,-1.6408058489569832e-05,-0.3298691715820416,-0.32987683242523624,7.660843194645661e-06,0.25493677479560106,0.2550322338077409,-9.545901213986463e-05,-0.08907245240404375,-0.08910441128243352,3.19588783897623e-05,-0.39685858304272703,-0.39686942029915084,1.0837256423812391e-05,0.8310543504484447,0.8310941930513527,-3.984260290801345e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.8300000000000001,0.01,0.13502716533104803,0.13504396220056558,-1.6796869517554658e-05,-0.32958876694840344,-0.329595904608908,7.137660504530352e-06,0.2553708405373523,0.25546773538219364,-9.689484484132205e-05,-0.08828017439058992,-0.0883120127883242,3.183839773428232e-05,-0.40342027199937813,-0.4034327885055137,1.251650613554034e-05,0.8251631241006875,0.8252039355360916,-4.0811435404131124e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.8421875000000001,0.01,0.1360983417957769,0.13611552572481833,-1.7183929041431067e-05,-0.32930682136713607,-0.3293133966541808,6.575287044729983e-06,0.2557798416671054,0.25587814828441563,-9.830661731025092e-05,-0.08750551461981976,-0.08753718568615634,3.167106633658601e-05,-0.4099915110021339,-0.41000575627196834,1.4245269834456398e-05,0.8193950205213966,0.8194368987875913,-4.187826619472812e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.8543750000000001,0.01,0.1371601813374702,0.13717774999036825,-1.7568652898036774e-05,-0.3290234854777196,-0.32902946065337346,5.975175653871734e-06,0.25616450397004376,0.25626420049366205,-9.969652361829784e-05,-0.08674786197486369,-0.08677931677473572,3.1454799872029926e-05,-0.4165722149833471,-0.41658823104771947,1.601606437234837e-05,0.8137457007431115,0.813788738698944,-4.303795583249226e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.8665625000000001,0.01,0.1382128876531586,0.1382308380875028,-1.795043434421606e-05,-0.3287388997806444,-0.3287442386496199,5.338868975468536e-06,0.2565255286301111,0.25662659546321026,-0.00010106683309918374,-0.08600663404119421,-0.08603782201931784,3.1187978123625726e-05,-0.4231623014611186,-0.4231801228398263,1.7821378707705282e-05,0.808211036423529,0.8082553220938193,-4.4285670290356016e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.87875,0.01,0.13925665750755284,0.1392749861572843,-1.832864973144721e-05,-0.3284531953599846,-0.3284578633489762,4.667988991624572e-06,0.256863593345249,0.25696601321912416,-0.00010241987387515916,-0.08528127533897249,-0.0853121447856633,3.086944669081215e-05,-0.42976169037324624,-0.42978134408579083,1.9653712544587254e-05,0.8027870969139632,0.8028327137785292,-4.561686456594494e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.8909375,0.01,0.14029168105123302,0.14031038371539428,-1.8702664161263094e-05,-0.32816649454838254,-0.3281704587753965,3.964227013986132e-06,0.25717935337594366,0.2572831113940174,-0.00010375801807371854,-0.08457125569083665,-0.0846017542036659,3.0498512829255087e-05,-0.4363703039217027,-0.43639180953412704,2.1505612424366216e-05,0.7974701372864005,0.7975171645513981,-4.702726499761223e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.9031250000000001,0.01,0.14131814211970983,0.14133721395677046,-1.9071837060624652e-05,-0.3278789115396703,-0.3278821408737873,3.2293341170053225e-06,0.25747344253195853,0.25757852620059424,-0.00010508366863570817,-0.08387606871329495,-0.08390614364943687,3.0074936141918918e-05,-0.44298806642702937,-0.4430114361323291,2.3369705299702836e-05,0.792256587236178,0.7923051000869519,-4.851285077389633e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,1.065,0.9153125000000001,0.01,0.14233621851479683,0.14235565404241302,-1.9435527616185055e-05,-0.32759055295380524,-0.32759301806579677,2.465111991534208e-06,0.2577464741017382,0.25785287334932766,-0.00010639924758948371,-0.08319523042100467,-0.08322482933581611,2.9598914811440613e-05,-0.44961490419206374,-0.44964014292168875,2.523872962501006e-05,0.7871430407854755,0.7871931106204959,-5.006983502042761e-05
