moneyness,tau,value,jac_moneyness,jac_tau,hess_moneyness__moneyness,hess_tau__tau,hess_moneyness__tau,delta,gamma,vega,theta,rho
0.9075,0.635,0.11191774010508404,-0.6352341501230319,0.03424985724815974,2.4275439778404215,-0.026483545693547675,0.2214756171609621,-0.6352341501230319,2.4275439778404215,0.2873170139075841,-0.03424985724815974,-0.3406597614326255
0.9075,0.6471875,0.11233318350282073,-0.6325694248616041,0.033924726110636516,2.408248090576365,-0.02684976180906587,0.21584873817392786,-0.6325694248616041,2.408248090576365,0.28788617174577735,-0.033924726110636516,-0.3489094854328049
0.9075,0.659375,0.11274464028959308,-0.6299719778662332,0.033595894054876514,2.389189443486913,-0.0270929498917438,0.21043339808098638,-0.6299719778662332,2.389189443486913,0.2883915447603363,-0.033595894054876514,-0.3571371377124971
0.9075,0.6715625000000001,0.11315207419196344,-0.6274392909177556,0.033264785508495216,2.3703884514105598,-0.027225338682266717,0.20521989533097978,-0.6274392909177556,2.3703884514105598,0.2888366162506771,-0.033264785508495216,-0.3653422973894226
0.9075,0.6837500000000001,0.11355546540050415,-0.6249689594876492,0.032932678881340854,2.3518637102759583,-0.027258640265992503,0.2001992580707733,-0.6249689594876492,2.3518637102759583,0.2892246797056065,-0.032932678881340854,-0.3735245055826078
0.9075,0.6959375000000001,0.11395480883145637,-0.6225586844185916,0.03260071354984913,2.333632032974472,-0.027203943762108038,0.1953631523195309,-0.6225586844185916,2.333632032974472,0.2895588467597439,-0.03260071354984913,-0.38168327959184306
0.9075,0.7081250000000001,0.11435011248047494,-0.6202062646411343,0.03226989791265714,2.315708494761101,-0.027071644690179666,0.19070380357736316,-0.6202062646411343,2.315708494761101,0.2898420553097346,-0.03226989791265714,-0.38981812493973417
0.9075,0.7203125,0.11474139587903381,-0.6179095907702358,0.031941118123036294,2.298106486873269,-0.026871403518891685,0.18621393059747407,-0.6179095907702358,2.298106486873269,0.2900770776950402,-0.031941118123036294,-0.39792854551972917
0.9075,0.7325,0.11512868865973158,-0.6156666394422499,0.031615147178023925,2.280837776877127,-0.026612127698802113,0.1818866898494068,-0.6156666394422499,2.280837776877127,0.2902665288576233,-0.031615147178023925,-0.4060140520792741
0.9075,0.7446875000000001,0.11551202923321163,-0.6134754682713798,0.03129265410881739,2.2639125741810098,-0.02630197225289708,0.17771562914577493,-0.6134754682713798,2.2639125741810098,0.2904128744058859,-0.03129265410881739,-0.41407416924957563
0.9075,0.7568750000000001,0.11589146357666236,-0.6113342113230487,0.03097421307257864,2.247339599171816,-0.025948354720919137,0.17369464894920358,-0.6113342113230487,2.247339599171816,0.290518438519744,-0.03097421307257864,-0.42210844131430575
0.9075,0.7690625000000001,0.1162670441317376,-0.6092410750190943,0.03066031219295345,2.231126154511901,-0.02555798091225409,0.16981796998448592,-0.6092410750190943,2.231126154511901,0.2905854116450804,-0.03066031219295345,-0.43011643688971785
0.9075,0.7812500000000001,0.11663882880808407,-0.6071943344055829,0.030351362036148556,2.215278197263909,-0.02513687851149823,0.16608010592656886,-0.6071943344055829,2.215278197263909,0.2906158579366041,-0.030351362036148556,-0.438097752669552
0.9075,0.7934375,0.11700688008754145,-0.6051923297280696,0.030047703642204063,2.199800410672054,-0.024690436100048892,0.16247584009800067,-0.6051923297280696,2.199800410672054,0.2906117224179968,-0.030047703642204063,-0.4460520163695859
0.9075,0.805625,0.11737126422321487,-0.6032334632710667,0.029749616057977088,2.184696274608079,-0.02422344560855288,0.1590002052763987,-0.6032334632710667,2.184696274608079,0.2905748378371003,-0.029749616057977088,-0.4539788889897944
0.9075,0.8178125,0.1177320505271619,-0.6013161964284923,0.029457323340114406,2.169968133877884,-0.023740146603403192,0.1556484658735279,-0.6013161964284923,2.169968133877884,0.29050693120165977,-0.029457323340114406,-0.4618780664964887
0.9075,0.8300000000000001,0.1180893107401082,-0.5994390469799189,0.029171001013686908,2.1556172637711333,-0.02324427114127715,0.15241610189679003,-0.5994390469799189,2.1556172637711333,0.2904096299878107,-0.029171001013686908,-0.4697492810127044
0.9075,0.8421875000000001,0.11844311847655559,-0.5976005865538009,0.028890781985838665,2.1416439324154752,-0.02273908820494834,0.14929879423765594,-0.5976005865538009,2.1416439324154752,0.2902844680191521,-0.028890781985838665,-0.4775923015928557
0.9075,0.8543750000000001,0.11879354873869036,-0.5957994382637023,0.02861676192435007,2.1280474596637555,-0.022227446967317946,0.1462924109482246,-0.5957994382637023,2.1280474596637555,0.29013289101891204,-0.02861676192435007,-0.48540693464644336
0.9075,0.8665625000000001,0.11914067749266305,-0.5940342745069992,0.028349004118993083,2.1148262723928375,-0.02171181832467071,0.14339299426593552,-0.5940342745069992,2.1148262723928375,0.28995626184149637,-0.028349004118993083,-0.49319302406620985
0.9075,0.87875,0.11948458130108675,-0.5923038149180185,0.028087543849340126,2.1019779562256597,-0.02119433429975954,0.14059674822851956,-0.5923038149180185,2.1019779562256597,0.2897558653926928,-0.028087543849340126,-0.5009504511077443
0.9075,0.8909375,0.11982533700590214,-0.590606824469004,0.027832392286758472,2.089499303800374,-0.020676825045625916,0.1379000267870103,-0.590606824469004,2.089499303800374,0.28953291325010366,-0.027832392286758472,-0.5086791340604059
0.9075,0.9031250000000001,0.12016302145610092,-0.5889421117131577,0.027583539960915386,2.0773863598035245,-0.02016085328618287,0.13529932237607267,-0.5889421117131577,2.0773863598035245,0.2892885479970464,-0.027583539960915386,-0.5163790277432991
0.9075,0.9153125000000001,0.12049771127522124,-0.5873085271642171,0.0273409598226035,2.065634463056775,-0.01964774611362433,0.13279125493919453,-0.5873085271642171,2.065634463056775,0.28902384728432107,-0.0273409598226035,-0.5240501228548952
0.9075,0.9275000000000001,0.12082948266386367,-0.5857049618069052,0.027104609935240193,2.054238286000689,-0.01913862412891721,0.1303725614335736,-0.5857049618069052,2.054238286000689,0.288739827634948,-0.027104609935240193,-0.5316924452004219
