region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho
full_grid,0.404,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1833342612503941,-0.9721196661853969,0.955970006722989,0.049957366650412505,0.0039318478149714935,-0.39349260225813143
full_grid,0.47050000000000003,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18313390546352315,-0.9589328550611239,1.2223890447436325,0.07027477215831568,0.0021083204996182794,-0.4531225346096781
full_grid,0.537,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18305135107798476,-0.944557192591684,1.4546768196740487,0.0905988642333595,0.00039659579912897786,-0.5108433749652219
full_grid,0.6035,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18307796010864918,-0.9295259185460385,1.6490512045756702,0.11001623553749207,-0.00117149667168958,-0.5667422476241643
full_grid,0.67,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18320370808781872,-0.9142442429043676,1.8065830751033722,0.12798787693295655,-0.0025842335308497097,-0.6209486471855253
full_grid,0.7365,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1834182132140878,-0.8990080229767627,1.9307713982163826,0.14424533032621456,-0.003841551271657308,-0.6736112999557158
full_grid,0.803,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1837113347226852,-0.8840251031707256,2.026062923811743,0.1587026801928737,-0.0049501295447061545,-0.7248828901638046
full_grid,0.8695,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1840735118079937,-0.8694352492827087,2.097011223156951,0.17138960807112413,-0.005920327652937381,-0.7749107305747868
full_grid,0.936,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18449593829280253,-0.8553271422417315,2.1478457182621113,0.18240370927597116,-0.006764223594057537,-0.8238316450878481
full_grid,1.0025,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18497063235390443,-0.8417520813758601,2.182287730853277,0.19187815816798626,-0.007494370813308891,-0.8717696476859527
full_grid,1.069,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18549044070105547,-0.8287346232644144,2.203505251024957,0.19996070864322713,-0.008123038675377907,-0.9188353617554175
full_grid,1.1355,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18604900379149147,-0.8162806193894661,2.214138935379241,0.20680065661583202,-0.008661778207211854,-0.9651264470361862
full_grid,1.202,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1866406997996216,-0.8043831659007212,2.2163597193315496,0.2125411905657757,-0.009121202018677332,-1.0107285543614475
full_grid,1.2685,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18726057884943648,-0.7930269375842252,2.2119361759348184,0.21731527634044978,-0.009510900892352776,-1.055716509468656
full_grid,1.335,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18790429472066217,-0.7821913020844791,2.202300433998002,0.22124379156939433,-0.009839444034132321,-1.100155549255412
full_grid,1.4015,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1885680383342282,-0.7718525293001035,2.188607584462022,0.22443504422840688,-0.010114427610373216,-1.144102512507551
full_grid,1.468,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18924847540708556,-0.7619853380365325,2.1717868316151643,0.22698510544337025,-0.010342548580443962,-1.1876069359042076
full_grid,1.5345,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18994268943781256,-0.7525639619097806,2.152584342525614,0.22897858901799162,-0.010529689314537048,-1.230712035243444
full_grid,1.601,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1906481304212193,-0.7435628692761003,2.13159852808705,0.23048964587365284,-0.010681004163259596,-1.2734555684893478
full_grid,1.6675,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.19136256923530592,-0.7349572359620329,2.109308775282315,0.23158303107298406,-0.01080100286441271,-1.315870586186114
full_grid,1.734,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.19208405738909118,-0.7267232426542805,2.0860986850602643,0.23231515923801338,-0.01089362805650457,-1.3579860790928686
full_grid,1.8005,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.19281089169183396,-0.7188382489446095,2.0622747881583336,0.23273510138622489,-0.010962325660247208,-1.3998275345006252
full_grid,1.867,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.19354158335447946,-0.7112808814902656,2.038081584323836,0.23288549961691962,-0.011010107794379435,-1.4414174127932387
full_grid,1.9335,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.19427483103111598,-0.7040310631762909,2.0137136153724025,0.232803390479281,-0.01103960841786067,-1.4827755551284345
full_grid,2.0,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.19500949733150452,-0.6970700025031507,1.9893251565824253,0.23252093643141347,-0.011053132174995327,-1.5239195320681336
full_grid,0.005,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17323312602728014,-0.9741910222983754,1.8792115230938817,0.0038698184826405947,-0.02635306903478758,-0.004892821855636349
full_grid,0.07150000000000001,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17261860735381862,-0.999995153018232,0.0007063378871117604,9.901804590798377e-06,0.009988079265245302,-0.071448610603529
full_grid,0.138,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1719634543920705,-0.9991914673381355,0.06605070647616262,0.0016411834891810612,0.00955081477907275,-0.13771871930004023
full_grid,0.20450000000000002,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1713746323767904,-0.9946572729747878,0.30612672042814104,0.01044270645407891,0.007987729653097426,-0.20319623984168472
full_grid,0.271,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17091610224544662,-0.9853824821813293,0.6509265889846745,0.0274137756293239,0.005742399563134633,-0.26707021658332525
full_grid,0.3375,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17061399206890648,-0.9723711124385431,1.0092682850207488,0.04960178695711792,0.0033472517072491888,-0.32887376269360946
full_grid,0.404,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17046834322778226,-0.9569281996618655,1.3336057432484765,0.0739231934746003,0.0010631435608275657,-0.3884577112657631
full_grid,0.47050000000000003,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17046787575997158,-0.9401174905647651,1.60635028043556,0.09819833245286413,-0.0010103179867954146,-0.4458606997752635
full_grid,0.537,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1705974124502464,-0.9227095535043257,1.8251001660747797,0.12110986348181685,-0.0028454821844616576,-0.5012200354774224
full_grid,0.6035,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.1708411012569072,-0.9052348751014287,1.9943058319146516,0.14196532497354641,-0.004445392022006105,-0.5547182488974789
full_grid,0.67,0.8266666666666667,0.04,-0.7,2.0,0.3,0.04,0.01,0.17118378642974086,-0.8880447169480501,2.1209594820477164,0.16048127567769432,-0.005826064306259503,-0.6065515041348863
