rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.7,2.0,0.3,0.04,0.04,0.8,0.7000000000000001,0.01,0.19558252902147288,0.1955448662561059,3.766276536698587e-05,-0.9287641427123295,-0.930174300674677,0.001410157962347447,0.10850761674064277,0.1060760942469745,0.0024315224936682645,-0.00016384737238941656,-0.0002914167453796374,0.00012756937299022086,-0.6574589009369977,-0.6577790147570933,0.0003201138200956688,1.5678638704269396,1.5568120825793486,0.011051787847591088
-0.7,2.0,0.3,0.04,0.04,0.8,0.7650000000000001,0.01,0.19562954698851287,0.19560255841568852,2.6988572824349077e-05,-0.9158499910409474,-0.9169840749710021,0.0011340839300546524,0.12357972113284753,0.12079292770707717,0.002786793425770359,-0.001267343300702163,-0.001466281275972101,0.00019893797526993788,-0.710608701019653,-0.710830211070255,0.0002215100506020029,1.6934066690389957,1.6889741534025582,0.0044325156364375395
-0.7,2.0,0.3,0.04,0.04,0.8,0.8300000000000001,0.01,0.19574532005666845,0.19573318870296774,1.2131353700706171e-05,-0.9029371354854152,-0.9037649796408216,0.0008278441554063765,0.13747586038673906,0.13426408826755054,0.003211772119188522,-0.0022802878315583567,-0.0025354273215245846,0.0002551394899662279,-0.7625186934543011,-0.7625584931049683,3.979965066713831e-05,1.7967721261292833,1.7970421939159884,-0.00027006778670513043
-0.7,2.0,0.3,0.04,0.04,0.8,0.895,0.01,0.19592415287204057,0.19592988609541673,-5.733223376158669e-06,-0.8901514902776815,-0.8906712313534495,0.000519741075768021,0.15009946313046177,0.14642409879042884,0.0036753643400329328,-0.0032086905343286357,-0.0034995477660499236,0.0002908572317212878,-0.8132878066999675,-0.8130778497044684,-0.0002099569954990832,1.8803274366498146,1.883579409801662,-0.0032519731518474426
-0.7,2.0,0.3,0.04,0.04,0.8,0.9600000000000001,0.01,0.19616074707308895,0.19618593862823241,-2.5191555143466715e-05,-0.8775841538615304,-0.8778147743739517,0.00023062051242128678,0.16142409772351668,0.15727898262111029,0.004145115102406394,-0.00405846041771446,-0.004362596723680166,0.0003041363059657059,-0.8630071177392077,-0.8625002478022985,-0.0005068699369091823,1.946500400657396,1.95137371173419,-0.004873311076794007
-0.7,2.0,0.3,0.04,0.04,0.8,1.0250000000000001,0.01,0.1964501518752073,0.19649496169954772,-4.4809824340408255e-05,-0.8653000975983619,-0.8652737100053247,-2.6387593037191515e-05,0.17147257134568897,0.16688047220331814,0.004592099142370826,-0.004834299362867993,-0.005130512223977276,0.0002962128611092834,-0.9117604131217661,-0.910931777946403,-0.0008286351753631349,1.997619174833496,2.003150845622498,-0.005531670789002074
-0.7,2.0,0.3,0.04,0.04,0.8,1.09,0.01,0.19678767832231892,0.1968509954328621,-6.331711054319289e-05,-0.8533447834657353,-0.8530997669050648,-0.0002450165606704413,0.18030068537998056,0.17530724161588762,0.004993443764092942,-0.005539599460228857,-0.005810297230738497,0.0002706977705096399,-0.9596253504025352,-0.9584705817630366,-0.0011547686394985934,2.0358361695993574,2.0414221701323925,-0.00558600053303504
-0.7,2.0,0.3,0.04,0.04,0.8,1.155,0.01,0.19716882529370094,0.19724855184666878,-7.972655296784037e-05,-0.8417489346398798,-0.841324571203635,-0.0004243634362447457,0.18798504546685588,0.18265179806965093,0.005333247397204949,-0.006176832118691245,-0.006409382051846109,0.00023254993315486357,-1.0066744912600913,-1.0052059811750615,-0.001468510085029795,2.0630977947083755,2.068418076261299,-0.0053202815529234115
-0.7,2.0,0.3,0.04,0.04,0.8,1.22,0.01,0.19758923648591398,0.197682627849746,-9.339136383201829e-05,-0.8305319148177583,-0.8299647202402869,-0.0005671945774714526,0.19461408432629165,0.18901166955807813,0.005602414768213521,-0.0067480664704378125,-0.0069351999020919024,0.00018713343165409,-1.0529759674144468,-1.0512183729312103,-0.0017575944832364243,2.0811377883177746,2.0860723875612557,-0.004934599243481053
-0.7,2.0,0.3,0.04,0.04,0.8,1.2850000000000001,0.01,0.19804468958920396,0.19814869599347762,-0.00010400640427365992,-0.819704160215845,-0.819025783340882,-0.0006783768749629715,0.20028153204267438,0.19448372096630173,0.005797811076372644,-0.0072554204117548805,-0.00739491839078347,0.00013949797902858968,-1.0985937905995145,-1.096579579626045,-0.0020142109734695435,2.091482355001882,2.0960348189347506,-0.004552463932868456
-0.7,2.0,0.3,0.04,0.04,0.8,1.35,0.01,0.19853111027148096,0.19864268157655318,-0.00011157130507222224,-0.8092690041403311,-0.8085053969197507,-0.0007636072205804423,0.2050817344153839,0.1991606763674556,0.005921058047928307,-0.007701367188699391,-0.007795281487289044,9.391429858965263e-05,-1.1435879144746623,-1.1413534488016772,-0.002234465672985131,2.0954612675492097,2.0996971420682353,-0.004235874519025629
-0.7,2.0,0.3,0.04,0.04,0.8,1.415,0.01,0.19904460107935695,0.19916093210597174,-0.000116331026614791,-0.7992241200457773,-0.7983956239175896,-0.0008284961281876946,0.20910637433666326,0.203129155038966,0.005977219297697262,-0.008088890248844016,-0.008142527434985725,5.3637186141708426e-05,-1.1880141702177969,-1.185596565204663,-0.0024176050131339277,2.0942220822139874,2.0982245235968406,-0.004002441382853217
-0.7,2.0,0.3,0.04,0.04,0.8,1.4800000000000002,0.01,0.19958147613479793,0.19970018318300264,-0.00011870704820471367,-0.7895627176573066,-0.7886847308849403,-0.0008779867723662793,0.21244226652682818,0.2064687189722576,0.00597354755457058,-0.008421512487219663,-0.00844235727609975,2.084478888008702e-05,-1.2319241746770495,-1.2293589924786132,-0.0025651821984362666,2.088745989781757,2.092587251016332,-0.0038412612345752883
-0.7,2.0,0.3,0.04,0.04,0.8,1.5450000000000002,0.01,0.20013829465061395,0.2002575234820052,-0.00011922883139126039,-0.7802745646110165,-0.7793585122924751,-0.000916052318541416,0.2151699752591649,0.2092515768572243,0.005918398401940611,-0.008703236998218872,-0.008699935908668188,-3.3010895506835336e-06,-1.2753652764611576,-1.272684994973197,-0.002680281487960512,2.079864408354209,2.083590376706221,-0.00372596835201211
-0.7,2.0,0.3,0.04,0.04,0.8,1.61,0.01,0.200711888709049,0.2008303605019539,-0.00011847179290491727,-0.7713468689633347,-0.7704012673528904,-0.0009456016104443243,0.21736305876700351,0.21154269873597487,0.0058203600310286485,-0.008938435356937235,-0.008919913080017687,-1.852227691954804e-05,-1.318380574092243,-1.3156137127586678,-0.002766861333575177,2.0682756743017405,2.0719001842324207,-0.0036245099306801976
-0.7,2.0,0.3,0.04,0.04,0.8,1.675,0.01,0.20129938289417215,0.2014163880892461,-0.00011700519507396034,-0.7627650386842659,-0.7617965127279485,-0.0009685259563174675,0.21908778267016457,0.2134001742696573,0.005687608400507277,-0.009131712938843227,-0.009106455732675694,-2.525720616753345e-05,-1.36100901636731,-1.3581797771049384,-0.0028292392623716633,2.0545613237630755,2.058067160297747,-0.0035058365346714027
-0.7,2.0,0.3,0.04,0.04,0.8,1.74,0.01,0.20189820502615585,0.20201355627089423,-0.00011535124473838199,-0.7545133262128404,-0.7535274960049556,-0.0009858302078847858,0.22040317456094421,0.2148757031852001,0.0055274713757441085,-0.009287772719657951,-0.009263285983489937,-2.4486736168014347e-05,-1.4032855792213288,-1.400413862350254,-0.002871716871074792,2.0392015660534417,2.0425455714229246,-0.003344005369482872
-0.7,2.0,0.3,0.04,0.04,0.8,1.8050000000000002,0.01,0.202506088386759,0.20262004363462938,-0.0001139552478703898,-0.746575364259055,-0.7455775598318091,-0.0009978044272459519,0.22136131649676205,0.21601514513057418,0.0053461713661878685,-0.009411291408369191,-0.009393721023567477,-1.7570384801714536e-05,-1.4452415045543303,-1.442343175157638,-0.002898329396692212,2.0225896570479636,2.025709944790198,-0.0031202877422344955
-0.7,2.0,0.3,0.04,0.04,0.8,1.87,0.01,0.20312106651504913,0.20323423229892423,-0.00011316578387510212,-0.7389345999239622,-0.7379303947431566,-0.001004205180805573,0.2220077932571283,0.21685908267489584,0.0051487105822324575,-0.009506815544184203,-0.009500712609220434,-6.10293496376875e-06,-1.48690458291831,-1.48399188493475,-0.0029126979835600864,2.0050449845034524,2.0078688298531784,-0.0028238453497260174
-0.7,2.0,0.3,0.04,0.04,0.8,1.935,0.01,0.2037414619895196,0.20385468539697682,-0.00011322340745723025,-0.7315746358931496,-0.7305702094920343,-0.0010044264011153103,0.22238223248382616,0.21744336913166828,0.004938863352157874,-0.009578680562678748,-0.009586884751689131,8.204189010383237e-06,-1.528299461905573,-1.5253815005368199,-0.002917961368753108,1.9868247712844334,1.9892762272693352,-0.002451455984901818
-0.7,2.0,0.3,0.04,0.04,0.8,2.0,0.01,0.20436587069854062,0.20448012692993522,-0.00011425623139460495,-0.724479488923545,-0.7234818406163694,-0.0009976483071755249,0.22251888843533943,0.21779964486397596,0.004719243571363468,-0.009630952693211087,-0.009654568838780044,2.3616145568956803e-05,-1.5694479640853927,-1.566531198846062,-0.0029167652393307097,1.9681343806145957,1.9701410475880148,-0.0020066669734191134
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,0.05,0.01,0.18616679164583594,0.18616677905746182,1.2588374120880985e-08,-1.0,-0.9999997052100955,-2.947899044869473e-07,0.0,1.0744730622016704e-07,-1.0744730622016704e-07,0.009995001249791692,0.00999488513281979,1.1611697190230807e-07,-0.04997500624895847,-0.049974993631417004,-1.2617541463033621e-08,0.0,-7.6182273023859865e-06,7.6182273023859865e-06
-0.7,2.0,0.3,0.04,0.04,0.8133333333333334,0.115,0.01,0.1855178260388728,0.1855179203670072,-9.432813441456744e-08,-0.9999294563896198,-0.9999320981431207,2.641753500842725e-06,0.00014373599579544215,0.00014567011794580816,-1.9341221503660062e-06,0.00993631860989349,0.009941919163402122,-5.600553508632727e-06,-0.1148536345927195,-0.11486154308852574,7.908495806244198e-06,0.008421518100494654,0.007176543835276106,0.001244974265218548
