idx,tau,moneyness,log_moneyness,v,rho,kappa,gamma,bar_v,r,gamma_cf,h_x,gamma_fd,error
7,0.013230126033997307,0.9717742372161392,-0.02863176773821814,0.0804972471558599,-0.7902704894983987,2.4815202735620594,0.41655718027191635,0.4281510350777597,0.02407456701631404,9.227537844330158,0.0005,9.227451105817075,-8.673851308316216e-05
7,0.013230126033997307,0.9717742372161392,-0.02863176773821814,0.0804972471558599,-0.7902704894983987,2.4815202735620594,0.41655718027191635,0.4281510350777597,0.02407456701631404,9.227537844330158,0.001,9.227190902288182,-0.0003469420419754954
7,0.013230126033997307,0.9717742372161392,-0.02863176773821814,0.0804972471558599,-0.7902704894983987,2.4815202735620594,0.41655718027191635,0.4281510350777597,0.02407456701631404,9.227537844330158,0.002,9.226150223577285,-0.0013876207528724649
7,0.013230126033997307,0.9717742372161392,-0.02863176773821814,0.0804972471558599,-0.7902704894983987,2.4815202735620594,0.41655718027191635,0.4281510350777597,0.02407456701631404,9.227537844330158,0.005,9.218871685591044,-0.008666158739114138
8,0.00022170467537186743,1.027895545869939,0.027513552794486702,0.4612755315188506,-0.3705678000277014,2.5696440707236743,0.5450570454978738,0.3133683523492172,0.04796661738178042,5.470634834941393,0.0005,5.468263920872809,-0.002370914068583474
8,0.00022170467537186743,1.027895545869939,0.027513552794486702,0.4612755315188506,-0.3705678000277014,2.5696440707236743,0.5450570454978738,0.3133683523492172,0.04796661738178042,5.470634834941393,0.001,5.461167383985034,-0.009467450956359258
8,0.00022170467537186743,1.027895545869939,0.027513552794486702,0.4612755315188506,-0.3705678000277014,2.5696440707236743,0.5450570454978738,0.3133683523492172,0.04796661738178042,5.470634834941393,0.002,5.4330234680975185,-0.03761136684387445
8,0.00022170467537186743,1.027895545869939,0.027513552794486702,0.4612755315188506,-0.3705678000277014,2.5696440707236743,0.5450570454978738,0.3133683523492172,0.04796661738178042,5.470634834941393,0.005,5.246651350805568,-0.22398348413582525
9,0.0016427751954957753,0.9989387697201341,-0.0010617937834260219,0.0911105441402863,-0.2825132714050961,1.1167847195746445,0.03338975841160444,0.08974430819142921,0.03262596003763316,35.22617351927025,0.0005,35.21955801745637,-0.006615501813875824
9,0.0016427751954957753,0.9989387697201341,-0.0010617937834260219,0.0911105441402863,-0.2825132714050961,1.1167847195746445,0.03338975841160444,0.08974430819142921,0.03262596003763316,35.22617351927025,0.001,35.19972818699077,-0.026445332279479317
9,0.0016427751954957753,0.9989387697201341,-0.0010617937834260219,0.0911105441402863,-0.2825132714050961,1.1167847195746445,0.03338975841160444,0.08974430819142921,0.03262596003763316,35.22617351927025,0.002,35.12065842997474,-0.10551508929550835
9,0.0016427751954957753,0.9989387697201341,-0.0010617937834260219,0.0911105441402863,-0.2825132714050961,1.1167847195746445,0.03338975841160444,0.08974430819142921,0.03262596003763316,35.22617351927025,0.005,34.57818750002367,-0.6479860192465807
10,0.0010017808951943055,1.017108821331911,0.016964113635017115,0.14951284034558843,-0.8889275827002575,0.4608386971819044,0.32707089046717647,0.38873932018628915,0.024775327831430924,9.375115411645766,0.0005,9.378844123552808,0.0037287119070423813
10,0.0010017808951943055,1.017108821331911,0.016964113635017115,0.14951284034558843,-0.8889275827002575,0.4608386971819044,0.32707089046717647,0.38873932018628915,0.024775327831430924,9.375115411645766,0.001,9.39001643749346,0.014901025847693816
10,0.0010017808951943055,1.017108821331911,0.016964113635017115,0.14951284034558843,-0.8889275827002575,0.4608386971819044,0.32707089046717647,0.38873932018628915,0.024775327831430924,9.375115411645766,0.002,9.434498829388698,0.05938341774293221
10,0.0010017808951943055,1.017108821331911,0.016964113635017115,0.14951284034558843,-0.8889275827002575,0.4608386971819044,0.32707089046717647,0.38873932018628915,0.024775327831430924,9.375115411645766,0.005,9.7367554818724,0.3616400702266347
11,0.03171837329014027,0.9752746064440134,-0.025036200004653734,0.08527056364410873,-0.4911138343424281,1.8025212238352426,0.7175515562931205,0.429190855477387,0.0055346037014808065,7.329707226575415,0.0005,7.329652699299167,-5.452727624799536e-05
11,0.03171837329014027,0.9752746064440134,-0.025036200004653734,0.08527056364410873,-0.4911138343424281,1.8025212238352426,0.7175515562931205,0.429190855477387,0.0055346037014808065,7.329707226575415,0.001,7.329489124200224,-0.00021810237519126474
11,0.03171837329014027,0.9752746064440134,-0.025036200004653734,0.08527056364410873,-0.4911138343424281,1.8025212238352426,0.7175515562931205,0.429190855477387,0.0055346037014808065,7.329707226575415,0.002,7.328834924259432,-0.00087230231598312
11,0.03171837329014027,0.9752746064440134,-0.025036200004653734,0.08527056364410873,-0.4911138343424281,1.8025212238352426,0.7175515562931205,0.429190855477387,0.0055346037014808065,7.329707226575415,0.005,7.324260013226044,-0.0054472133493712604
12,0.00546729673843268,0.999199820165058,-0.0008005001497104294,0.06659013119602393,-0.15714043992331098,0.359017667594683,0.5405741189961284,0.13458910703953708,0.012621814527479364,21.03146692421315,0.0005,21.030211123911847,-0.0012558003013012353
12,0.00546729673843268,0.999199820165058,-0.0008005001497104294,0.06659013119602393,-0.15714043992331098,0.359017667594683,0.5405741189961284,0.13458910703953708,0.012621814527479364,21.03146692421315,0.001,21.026444903437717,-0.005022020775431457
12,0.00546729673843268,0.999199820165058,-0.0008005001497104294,0.06659013119602393,-0.15714043992331098,0.359017667594683,0.5405741189961284,0.13458910703953708,0.012621814527479364,21.03146692421315,0.002,21.011397730515068,-0.020069193698081023
12,0.00546729673843268,0.999199820165058,-0.0008005001497104294,0.06659013119602393,-0.15714043992331098,0.359017667594683,0.5405741189961284,0.13458910703953708,0.012621814527479364,21.03146692421315,0.005,20.906854735163538,-0.12461218904961058
13,0.016619154104785653,0.9994425750803008,-0.0005575803387287622,0.020362528004855617,-0.6341768771903191,1.0947580832347574,0.1977501070548719,0.4602089036423136,0.014738697478727136,19.89966229472877,0.0005,19.898632820793637,-0.0010294739351337512
13,0.016619154104785653,0.9994425750803008,-0.0005575803387287622,0.020362528004855617,-0.6341768771903191,1.0947580832347574,0.1977501070548719,0.4602089036423136,0.014738697478727136,19.89966229472877,0.001,19.895545164367913,-0.004117130360857146
13,0.016619154104785653,0.9994425750803008,-0.0005575803387287622,0.020362528004855617,-0.6341768771903191,1.0947580832347574,0.1977501070548719,0.4602089036423136,0.014738697478727136,19.89966229472877,0.002,19.883205991582447,-0.016456303146323847
