tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
1.335,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8448366090995694,0.19852640489676587,0.6463102042028035,0.6463102042028035,-0.05420435761327062,,,-1.1602397757963507,-0.8108963733890795,-0.34934340240727124,0.34934340240727124,0.19291186814487765,-0.46621289993998327,2.099346828995584,-2.5655597289355674,2.5655597289355674,0.8277743248783155,-2.0045900749093093,0.19814730820336646,-2.2027373831126758,2.2027373831126758,1.8384528914192546,0.004358444906616653,-0.007707823318307796,0.012066268224924449,0.012066268224924449,0.011973974941656315,-0.024791401401171916,-1.1310700773167193,1.1062786759155474,1.1062786759155474,0.5191188631903128
1.4015,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8446538386969664,0.1990514651130395,0.6456023735839269,0.6456023735839269,-0.049978255774003395,,,-1.1403330808264383,-0.8004620953602826,-0.3398709854661557,0.3398709854661557,0.18876875350055375,-0.4324260385473779,2.0989025446528142,-2.531328583200192,2.531328583200192,0.8168467858300428,-1.9608667230274888,0.20235920711454525,-2.1632259301420342,2.1632259301420342,1.7991511333234629,0.001225278525678164,-0.008074489402242976,0.00929976792792114,0.00929976792792114,0.009225278514324487,-0.024866480935837546,-1.1764487296738726,1.151582248738035,1.151582248738035,0.5291106714517426
1.468,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8446630409114959,0.19959918580988323,0.6450638551016127,0.6450638551016127,-0.04628523427396215,,,-1.1214461899396047,-0.7904481121351707,-0.3309980778044339,0.3309980778044339,0.18486884683282295,-0.40082982799162914,2.093902760935146,-2.494732588926775,2.494732588926775,0.8063383957719249,-1.9195365515650051,0.2058961343845711,-2.1254326859495762,2.1254326859495762,1.7625337915477193,-0.0014288667684292722,-0.008390330739878283,0.006961463971449011,0.006961463971449011,0.006903540979355912,-0.024932953307743252,-1.2213138676604527,1.1963809143527095,1.1963809143527095,0.538591565906339
1.5345,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8448349238517379,0.20016637797855763,0.6446685458731802,0.6446685458731802,-0.04304531727651757,,,-1.1034674026817262,-0.7808396447841204,-0.3226277578976058,0.3226277578976058,0.18116609142352952,-0.37112583168944063,2.0852420880796325,-2.456367919769073,2.456367919769073,0.7961669942399905,-1.8803433721362641,0.20883696015592612,-2.08918033229219,2.08918033229219,1.7282564987280913,-0.0036786350595808606,-0.008660989593952648,0.004982354534371788,0.004982354534371788,0.004939572944500896,-0.024991836557140882,-1.2657140549450834,1.2407222183879425,1.2407222183879425,0.547607592264336
1.601,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8451447086930323,0.20075020871907756,0.6443944999739547,0.6443944999739547,-0.04019217648946094,,,-1.0863000661402358,-0.7716201005186609,-0.31467996562157485,0.31467996562157485,0.17762271128525178,-0.3430734293761783,2.073658010631684,-2.416731440007862,2.416731440007862,0.7862720678905936,-1.8430654984591688,0.21125257873789416,-2.054318077197063,2.054318077197063,1.6960278254578658,-0.005585623251298855,-0.0088915385454596,0.0033059152941607457,0.0033059152941607457,0.003276779681319316,-0.02504398772196872,-1.309692108903544,1.2846481211815752,1.2846481211815752,0.556198861410763
1.6675,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.845571354999085,0.20134816444642678,0.6442231905526582,0.6442231905526582,-0.03767038460367079,,,-1.0698602017044567,-0.7627719177568015,-0.3070882839476552,0.3070882839476552,0.17420761066947188,-0.31647746734357673,2.0597573150846316,-2.376234782428208,2.376234782428208,0.7766089064362552,-1.8075102603600748,0.21320627202432918,-2.020716532384404,2.020716532384404,1.6656001365807982,-0.007201053645684435,-0.009086515014362624,0.0018854613686781884,0.0018854613686781884,0.0018684833665142697,-0.02509013265018325,-1.3532858025019892,1.3281956698518058,1.3281956698518058,0.5644004941684865
1.734,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8460969415661614,0.2019580166694105,0.644138924896751,0.644138924896751,-0.03543331350260617,,,-1.0540745776995988,-0.7542771717703487,-0.2997974059292501,0.2997974059292501,0.17089511894332304,-0.29117879517788053,2.0440385882453116,-2.335217383423192,2.335217383423192,0.7671444745939608,-1.7735095563537175,0.21475424222857276,-1.9882637985822904,1.9882637985822904,1.636762177454632,-0.008567812019147442,-0.009249963149421368,0.000682151130273926,0.000682151130273926,0.0006758990886115417,-0.025130889199607716,-1.3965284935845856,1.3713976043849778,1.3713976043849778,0.572243396252603
1.8005,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.846706166530195,0.2025777906653745,0.6441283758648205,0.6441283758648205,-0.033441507126081765,,,-1.0388791309600895,-0.7461180018845259,-0.2927611290755636,0.2927611290755636,0.1676640002334301,-0.2670469413422213,2.0269111115444725,-2.2939580528866936,2.2939580528866936,0.7578544490909112,-1.740916217279011,0.21594622258634288,-1.9568624398653538,1.9568624398653538,1.609333047396674,-0.009722019848720967,-0.009385478420987145,-0.00033654142773382155,0.00033654142773382155,0.0003334121947744717,-0.025166785501243263,-1.439449682007477,1.4142828965062337,1.4142828965062337,0.579754895924883
1.867,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8473859399569923,0.20320573712572887,0.6441802028312634,0.6441802028312634,-0.031661408082931795,,,-1.024217663932666,-0.7382769064726598,-0.28594075746000613,0.28594075746000613,0.16449666701276142,-0.2439743928264612,2.008710585912075,-2.2526849787385363,2.2526849787385363,0.7487210598741076,-1.7096010091502083,0.21682610829507953,-1.9264271174452878,1.9264271174452878,1.5831572846053124,-0.010694260285125387,-0.009496252003018756,-0.0011980082821066319,0.0011980082821066319,0.0011867387122335242,-0.02519827449574194,-1.4820754987213003,1.4568772242255583,1.4568772242255583,0.5869592705685637
1.9335,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8481250489019171,0.20384030669534225,0.6442847422065748,0.6442847422065748,-0.03006435090968118,,,-1.0100407611823452,-0.7307369405815014,-0.2793038206008438,0.2793038206008438,0.1613785515590844,-0.22187209129749041,1.989712141296887,-2.2115842325943773,2.2115842325943773,0.739731495231855,-1.6794501441567273,0.21743257254987913,-1.8968827167066065,1.8968827167066065,1.5581008422779732,-0.01151054383808748,-0.009585113210985043,-0.0019254306271024365,0.0019254306271024365,0.001907150374849135,-0.0252257456269408,-1.5244291326869104,1.4992033870599695,1.4992033870599695,0.5938781832486112
2.0,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.8489138798181188,0.20448012724140974,0.6444337525767091,0.6444337525767091,-0.028625758438982317,,,-0.9963048820043019,-0.723481842298098,-0.2728230397062039,0.2728230397062039,0.15829760024765943,-0.20066586142613427,1.9701410589381827,-2.170806920364317,2.170806920364317,0.7308767083070373,-1.6503631989265914,0.2177996475063887,-1.86816284643298,1.86816284643298,1.5340477805674346,-0.012193076339193976,-0.009654569043912053,-0.002538507295281923,0.002538507295281923,0.002514233454800042,-0.02524953434551545,-1.5665312021597766,1.5412816678142611,1.5412816678142611,0.6005310461518053
0.005,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,0.8133333333333334,1.5156519388814238,0.18664435218048592,1.3290075867009379,1.3290075867009379,-9.731927163151509,,,-0.6669771389098196,-0.9997308975166783,0.33275375860685874,0.33275375860685874,0.16639926853162176,-10.740050104219964,-1.6765802056671797,-9.063469898552786,9.063469898552786,3.386212705063913,-1.160117025592938,-0.0027076321129072423,-1.157409393480031,1.157409393480031,1.154284017008164,9.78809792932629,0.031051950632425832,9.757045978693863,9.757045978693863,9.46319530525023,0.01477877020098971,-0.004998794077470254,0.019777564278459964,0.019777564278459964,0.019679192049792064
0.07150000000000001,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,0.8133333333333334,1.159494154260648,0.18595191257319776,0.9735422416874503,0.9735422416874503,-2.6434038332529184,,,-2.370769518057156,-0.999999289217388,-1.3707702288397678,1.3707702288397678,0.6853853579998814,-10.194885121349424,9.356124317155302e-05,-10.194978682592595,10.194978682592595,10.194024916948443,-4.540600160599146,1.240802049948112e-06,-4.5406014014011955,4.5406014014011955,4.540595767420659,2.6007564313387617,0.009992234880317238,2.5907641964584442,2.5907641964584442,2.5651327871500382,-0.007400121510188281,-0.07144885374793883,0.06404873223775055,0.06404873223775055,0.059777685153805944
0.138,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,0.8133333333333334,1.0419040088153162,0.1852903060451898,0.8566137027701264,0.8566137027701264,-1.282879391337318,,,-2.2227557976865864,-0.9997420402822804,-1.2230137574043058,1.2230137574043058,0.6115857609472806,-5.773569737386059,0.023122036872538443,-5.796691774258598,5.796691774258598,5.665689492895514,-4.177533104692275,0.000547435670663815,-4.178080540362939,4.178080540362939,4.175794561466628,1.2187209839247246,0.00983764435729292,1.2088833395674317,1.2088833395674317,1.19710663028097,-0.014469779448488823,-0.13778110883551933,0.12331132938703052,0.12331132938703052,0.10837878079487143
0.20450000000000002,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,0.8133333333333334,0.9793889430530861,0.1846586658071785,0.7947302772459076,0.7947302772459076,-0.7949654109873282,,,-2.0587539671330988,-0.9976041409591604,-1.0611498261739385,1.0611498261739385,0.5312112667449826,-3.930980786206251,0.15090280960248936,-4.0818835958087405,4.0818835958087405,3.5466796689970574,-3.810300799918541,0.004893999128900067,-3.815194799047441,3.815194799047441,3.7966141725939964,0.7275435520479715,0.009030467948378838,0.7185130840995927,0.7185130840995927,0.7120826446009272,-0.017784998443477525,-0.20369086857616858,0.18590587013269105,0.18590587013269105,0.1544465235933848
0.271,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,0.8133333333333334,0.9398425244733618,0.18410371878832477,0.755738805685037,0.755738805685037,-0.5526717158072267,,,-1.9242173555076212,-0.9921680359113042,-0.932049319596317,0.932049319596317,0.46785677854225644,-2.9410545600749813,0.3842673127675784,-3.3253218728425598,3.3253218728425598,2.402225236536297,-3.515132974153895,0.015344677593184808,-3.5304776517470797,3.5304776517470797,3.477122330631476,0.48607383846247026,0.0075787041758317315,0.47849513428663853,0.47849513428663853,0.4748960377026158,-0.019699318353720952,-0.2685791718136329,0.24887985345991193,0.24887985345991193,0.1961878761607753
0.3375,-0.20661424936299916,0.04,-0.7,2.0,0.3,0.04,0.01,0.8133333333333334,0.9125495379812714,0.18365786667902861,0.7288916713022427,0.7288916713022427,-0.410659252169277,,,-1.814728021640669,-0.9834511244779635,-0.8312768971627055,0.8312768971627055,0.4191063177225979,-2.3289101733597253,0.6678092407970411,-2.9967194141567663,2.9967194141567663,1.7967998622700059,-3.277244719612744,0.031029123624044197,-3.308273843236788,3.308273843236788,3.208710372417299,0.34603222076451906,0.005799542462539307,0.34023267830197973,0.34023267830197973,0.33827086207354445,-0.020942007305096454,-0.3319418636733731,0.31099985636827665,0.31099985636827665,0.23349356668658772
